DAY_OF_MONTH,ORIGIN,DEST,DEP_TIME,ARR_TIME
13,DFW,SFO,2331,0116
13,ATL,MIA,2159,2337
13,BDL,ATL,1535,1803
13,SAN,SLC,1754,2045
13,SLC,BIL,2230,2347
13,ATL,SNA,2107,2229
13,ATL,LAX,0035,0156
13,ONT,SLC,2007,2232
13,MCI,SLC,2202,2325
13,SLC,LAX,0025,0118
13,LAS,LAX,1806,1901
13,LEX,CVG,2015,2046
13,SAT,DFW,2135,2233
13,GSO,ATL,1752,1900
13,MCI,ATL,2108,2400
13,SLC,MCI,2108,0028
13,ATL,MIA,1528,1703
13,DFW,BNA,1938,2125
13,ATL,MIA,1807,1950
13,ATL,MIA,0009,0145
13,CVG,SEA,2352,0127
13,SLC,SEA,2329,0018
13,SEA,SLC,1903,2155
13,SDF,ATL,2149,2311
13,AUS,CVG,1520,1850
13,CVG,SYR,2350,0109
13,ATL,PVD,2218,0022
13,ATL,PBI,2358,0133
13,SLC,OKC,1816,2121
13,SLC,LAS,2249,2302
13,LAX,SLC,1608,1841
13,MCI,ATL,1809,2114
13,HOU,ATL,1637,1932
13,ATL,OMA,0026,0134
13,CVG,SDF,2012,2049
13,SLC,LAX,1812,1855
13,LAX,OGG,1729,1944
13,LAX,SLC,2008,2236
13,ATL,SDF,1826,1953
13,CVG,PIT,2259,0018
13,DEN,ATL,1502,1938
13,PDX,ATL,2336,0655
13,ATL,COS,2115,2215
13,HNL,LAX,0954,1755
13,LAX,HNL,1718,2021
13,SLC,LAX,1351,1440
13,ATL,MKE,2155,2243
13,ATL,SMF,1949,2140
13,JAX,ATL,1648,1752
13,BIL,SLC,1812,1933
13,JAX,ATL,2235,2350
13,SLC,DFW,1808,2123
13,ATL,PBI,1940,2122
13,CVG,PDX,2230,2354
13,COS,ATL,1515,1941
13,ATL,CHS,0023,0118
13,LAS,ATL,1225,1905
13,SLC,SFO,2036,2125
13,ATL,BNA,2137,2133
13,SLC,PSC,2218,""
13,DFW,ONT,1829,1926
13,GEG,SLC,1308,1550
13,SLC,DEN,1516,1655
13,CLT,ATL,1634,1737
13,LAX,TPA,2225,0603
13,TPA,PBI,0635,0725
13,ATL,PBI,2141,2335
13,MCI,CVG,1519,1758
13,DFW,ABQ,2238,2312
13,ONT,SLC,1309,1529
13,CVG,SAN,1921,2042
13,ATL,CLT,1937,2035
13,ATL,LIT,1906,1925
13,ATL,GSO,2224,2326
13,ATL,BWI,2024,2157
13,SAV,ATL,1827,1947
13,SLC,GTF,2200,2318
13,FLL,ATL,1743,1935
13,ATL,MOB,0025,0026
13,BNA,CVG,1547,1742
13,CVG,SFO,2022,2211
13,ATL,MCI,1936,2029
13,DFW,SAT,2300,0001
13,TPA,CVG,1638,1848
13,TYS,ATL,1753,1848
13,ATL,PIT,0002,0144
13,ATL,PDX,2027,2219
13,ATL,PIT,1838,2010
13,ATL,CVG,0011,0122
13,ATL,SRQ,2343,0102
13,JAX,ATL,1732,1844
13,RSW,ATL,1723,1908
13,SFO,LAX,2307,0021
13,ATL,SHV,2249,2319
13,CLT,ATL,2051,2201
13,MSY,DFW,0032,0154
13,LAS,SLC,1501,1713
13,PDX,SLC,1100,1351
13,RDU,ATL,2152,2325
13,GEG,SLC,1334,1609
13,CLE,CVG,1947,2048
13,IAH,ATL,2147,0041
13,SLC,SMF,1550,1630
13,CLT,ATL,1829,1943
13,HNL,LAX,2123,0532
13,LAX,SLC,0728,0958
13,ATL,SAV,0306,0403
13,BWI,ATL,2228,0020
13,ATL,HSV,1900,1839
13,CVG,LEX,2030,2106
13,ATL,DFW,0034,0125
13,PHL,ATL,2247,0049
13,SLC,SAN,1947,2031
13,ATL,ALB,2240,0053
13,CVG,ATL,2002,2120
13,LAX,ATL,1635,2335
13,CVG,MCO,1656,1851
13,SLC,PHX,1710,1748
13,SLC,SFO,2321,0005
13,SLC,LAX,1146,1235
13,ATL,IAH,2340,0027
13,GSO,ATL,2133,2244
13,ATL,MLB,0005,0138
13,DTW,ATL,2038,2233
13,ATL,RSW,1500,1625
13,DFW,CVG,2015,2321
13,ATL,DAB,2313,0033
13,MKE,ATL,1753,2047
13,ATL,RDU,1910,2014
13,SLC,PHL,1728,2321
13,PHL,SLC,0058,0402
13,DEN,SLC,1742,1909
13,SLC,ANC,2238,0117
13,SLC,ATL,0057,0618
13,SLC,ONT,2026,2103
13,SLC,PHL,1912,0107
13,ATL,DAB,2221,2335
13,CVG,ATL,1957,2115
13,SFO,JFK,1342,2134
13,CVG,PBI,0021,0241
13,PVD,CVG,1726,1935
13,DFW,PHX,1540,1602
13,JAN,DFW,1314,1435
13,SLC,MCI,1654,2009
13,DFW,PBI,2016,0007
13,ATL,GSO,2020,2123
13,SFO,SLC,1401,1630
13,DFW,DEN,1619,1704
13,ATL,FLL,1726,1904
13,PHX,SLC,1708,1928
13,CVG,BUF,2245,0003
13,IAD,SLC,1844,2119
13,SLC,GEG,2208,2239
13,HOU,ATL,2043,0015
13,SEA,SLC,1801,2056
13,RDU,CVG,1856,2013
13,SLC,MCO,1824,0019
13,CLE,CVG,1724,1821
13,IAH,ATL,1750,2127
13,DFW,ATL,1640,1950
13,CVG,DFW,2246,2358
13,ATL,SAV,1711,1801
13,ATL,STL,1611,1634
13,STL,ATL,1729,2022
13,SLC,IAD,1839,0022
13,CVG,FLL,2244,0109
13,CVG,JAX,2127,2306
13,ATL,RDU,2342,0053
13,ATL,IAD,1946,2120
13,ATL,MSY,0202,0218
13,ATL,TYS,1614,1655
13,ATL,PHL,0125,0325
13,DFW,MEM,1405,1522
13,ATL,MCO,1552,1709
13,ATL,TPA,1908,2025
13,SLC,EWR,1414,2024
13,SLC,CVG,1723,2230
13,ATL,ABQ,2248,2348
13,TPA,CVG,2345,0156
13,CVG,BDL,2139,2327
13,ATL,SDF,0005,0105
13,SLC,DTW,1653,2216
13,ATL,SLC,0016,0201
13,SFO,SLC,1851,2149
13,ATL,SRQ,0014,0132
13,AUS,DFW,1928,2024
13,DFW,PHX,2119,2141
13,MSP,ATL,1936,2257
13,MCO,JFK,1626,1845
13,MCO,BNA,2013,2102
13,IND,MCO,1432,1743
13,MCO,IND,2132,2313
13,MCO,IAD,2148,2356
13,MCO,BDL,1850,2130
13,FLL,PVD,1945,2225
13,BDL,TPA,1515,1816
13,IAD,MCO,2031,2251
13,MCO,CMH,2027,2239
13,SEA,PHX,1406,1645
13,PHX,JFK,1255,2017
13,PHX,LAX,1522,1634
13,LAX,PHX,1650,1817
13,DFW,PHX,1442,1558
13,PHX,LAX,1721,1837
13,DEN,PHX,1657,1836
13,PHX,LAX,2331,0041
13,SEA,PHX,1814,2055
13,AUS,PHX,2010,2019
13,LAX,LAS,2046,2138
13,PHX,SEA,2324,0149
13,PHX,SEA,1916,2151
13,PHX,SEA,1953,2235
13,PHX,SEA,1428,1710
13,PHX,LAS,2012,2110
13,LAS,PHX,1230,1329
13,PHX,BWI,1852,0149
13,CMH,PHX,2012,2122
13,LAX,LAS,1458,1549
13,LAS,LAX,1443,1539
13,LAS,LAX,1308,1402
13,CMH,LAS,2057,2210
13,LAS,LAX,0155,0259
13,LAS,LAX,2128,2226
13,PHX,MKE,1918,0017
13,LAS,MKE,0200,0704
13,SNA,LAS,1418,1514
13,LAS,SNA,1742,1840
13,SNA,LAS,1504,1600
13,LAS,SNA,1237,1336
13,SNA,LAS,1930,2031
13,PHX,STL,1758,2237
13,SFO,PHX,1450,1633
13,PHX,SAT,1326,1730
13,BOI,PHX,1530,1735
13,PHX,SAT,1815,2218
13,PHX,SAN,1355,1456
13,PHX,SAN,1730,1834
13,MCI,PHX,1736,1838
13,PHX,SAN,2058,2157
13,IAH,PHX,2032,2056
13,LAS,SAN,2349,0044
13,SAN,PHX,1931,2042
13,RNO,PHX,1200,1334
13,PDX,PHX,1407,1649
13,PHX,ABQ,1920,2123
13,LAX,PHX,1856,2006
13,PHX,ABQ,2050,2254
13,PHX,AUS,1853,2300
13,SNA,PHX,1553,1729
13,TUS,PHX,1320,1400
13,ONT,PHX,1313,1424
13,PHX,DTW,1634,2303
13,DTW,PHX,1749,1926
13,LAS,DTW,0053,0758
13,PHX,DTW,2025,0255
13,LAX,PHX,1255,1415
13,PHX,PHL,2100,0410
13,LAS,PHL,2148,0506
13,SFO,LAS,1421,1547
13,LAS,PHL,2348,0800
13,SNA,SMF,1302,1414
13,SMF,SNA,1250,1406
13,SNA,SMF,1535,1650
13,SFO,LAS,1847,1958
13,PHX,IAH,1547,2003
13,GEG,PHX,1415,1828
13,PHX,IAH,1833,2305
13,PHX,SJC,2145,2325
13,LAS,PHX,1653,1840
13,PHX,SJC,2119,2255
13,SJC,PHX,1935,2115
13,MSY,PHX,1721,1850
13,PHX,CMH,1803,0032
13,SAN,PHX,1528,1645
13,CMH,PHX,1737,1904
13,PHX,LAS,2028,2123
13,LAS,PHX,1244,1348
13,PHX,CMH,1604,2223
13,PHX,COS,1253,1520
13,PHX,COS,1902,2131
13,SLC,PHX,1624,1656
13,LAS,PHX,1242,1350
13,COS,PHX,1706,1828
13,PHX,LAS,1949,2049
13,PHX,TUS,1600,1644
13,PHX,TUS,1813,1853
13,PHX,TUS,2106,2142
13,PHX,TUS,2055,2140
13,PHX,TUS,2250,2330
13,TUS,PHX,1705,1755
13,TUS,LAS,2207,2312
13,PHX,SLC,1928,2146
13,STL,PHX,1635,1858
13,MCI,PHX,1555,1635
13,LAS,TUS,0205,0310
13,SAN,LAS,2220,2319
13,IND,PHX,1615,1819
13,PHX,IND,1748,2300
13,SAN,PHX,1536,1646
13,PHX,BUR,2055,2230
13,LAS,PHX,1810,1930
13,PHX,DEN,2238,0105
13,PHX,DEN,1930,2209
13,DEN,PHX,1938,2010
13,DEN,LAS,0141,0218
13,LAS,PHX,0311,0402
13,LAS,DEN,0312,0544
13,SMF,LAS,0014,0119
13,EWR,PHX,1543,1750
13,PHX,OMA,2000,0025
13,RNO,PHX,1454,1638
13,PHX,OMA,2102,0127
13,RNO,PHX,1750,1931
13,PHX,RNO,1440,1535
13,DFW,PHX,1750,1840
13,PHX,RNO,1950,2140
13,PHX,CLE,1252,1920
13,CLE,LAS,2006,2130
13,LAS,CLE,2358,0637
13,PHX,DFW,1310,1713
13,PHX,DFW,1610,2020
13,PHX,DFW,2200,0217
13,LAS,DFW,2020,0045
13,LAS,MIA,0014,0813
13,SEA,LAS,2312,0125
13,MIA,LAS,2026,2231
13,PHX,LAS,1615,1707
13,MCO,LAS,2354,0127
13,LAS,MCO,0328,1055
13,PHX,LAS,0128,0223
13,PHX,MCO,1724,0026
13,PHX,TPA,1302,1958
13,TPA,LAS,2037,2224
13,LAS,TPA,0057,0811
13,SJC,LAS,2317,0022
13,PHX,MCI,2300,0320
13,SMF,PHX,1509,1720
13,MCI,PHX,2013,2045
13,PHX,MCI,2032,0055
13,SMF,PHX,1736,1928
13,LAX,PHX,1341,1455
13,LAX,PHX,1718,1909
13,ELP,PHX,1452,1503
13,OMA,PHX,1713,1751
13,LAS,ONT,0200,0250
13,PHL,LAS,2051,2314
13,PHX,ONT,1945,2050
13,ABQ,PHX,1526,1538
13,OMA,PHX,1429,1505
13,PHX,SNA,1745,1850
13,PHX,SNA,1404,1524
13,DFW,PHX,2055,2112
13,PHX,BOI,2324,0207
13,SAT,PHX,2150,2157
13,SAN,PHX,1249,1358
13,CMH,LAX,1804,1957
13,LAX,PHX,1440,1613
13,TUS,PHX,1914,2005
13,LAS,PHX,2218,2317
13,LAS,CMH,0036,0710
13,ONT,LAS,2118,2208
13,LAS,CMH,1556,2230
